,VCCS Course,VCCS Description,VT Course Code,VT Course Title,VT Description
162,HLT 143 MEDICAL TERMINOLOGY,"Provides an understanding of medical abbreviations and terms. Includes the study of prefixes, suffixes, word stems and technical terms with emphasis on proper spelling, pronunciation and usage.",HNFE 2204,MEDICAL TERMINOLOGY,"Structure, pronunciation, and use of medical terms; anatomical structures and body systems; terms used in pathology, testing, diagnosis, surgery, pharmacology and treatment."
163,HLT 144 MEDICAL TERMINOLOGY II,"Provides an understanding of medical abbreviations and terms. Includes the study of prefixes, suffixes, word stems, and technical terms with emphasis on proper spelling, pronunciation, and usage. Emphasizes more complex skills and techniques in understanding medical terminology. Part II of II. This course applies to career/technical education (CTE) programs. HLT 143 serves both transfer and CTE programs.",HNFE 2204,MEDICAL TERMINOLOGY,"Structure, pronunciation, and use of medical terms; anatomical structures and body systems; terms used in pathology, testing, diagnosis, surgery, pharmacology and treatment."
164,HLT 160 PERSONAL HEALTH AND FITNESS,"Studies the relationships between health and fitness. Topics include nutrition, disease prevention, weight control, smoking and health, medical care, aerobic and anaerobic conditioning, and the relationship between physical and mental health.",PHS 1514,PERSONAL HEALTH,Fundamental health content and theory to provide students with constructive health information necessary to meet current and future personal health needs.  Special emphasis on wellness and health promotion.
165,HLT 228 INTRODUCTION TO PUBLIC HEALTH,"Provides an overview of public health systems in the United States and globally with an emphasis on core functions, essential services and health determinants. Explores the history, core areas and current trends within public health as well as how public health affects individuals and populations. The assignments in the course require college-level reading fluency and coherent communication through documented written reports.",PHS 2004,INTRODUCTION TO PUBLIC HEALTH,"Examination of how public health core disciplines of epidemiology, health policy and administration, health behavior, and environmental health work together in addressing public health problems.  Special emphasis on the history of public health, the public health infrastructure and role of health informatics in public health."
166,HLT 230 PRINCIPLES OF NUTRITION,"Introduces students to the basic concepts of nutrition and its impact on personal wellness. Emphasizes an evidence-based approach to various topics, such as the nutrient components of food, the components of a healthy eating pattern, and the relationship between diet and health. Provides a behavioral approach to nutrient guidelines for the development and maintenance of optimum wellness. The assignments in the course require college-level reading fluency and coherent communication through documented written reports.",HNFE 1004,FOOD & NUTRITION,"Scientific information applied to current concerns in foods, nutrition and exercise as it affects the nutritional health well-being of humans. I,II"
167,HRI 101 HOTEL-RESTAURANT ORGANIZATION AND MANAGEMENT I,"Introduces the history, opportunities, problems and trends of the hospitality industry. Covers the organization of the various sectors of the hospitality industry including human resources, general business considerations, and management theory.  Part I of II.",HTM 1414,INTRO TO HOSPITALITY AND TOURISM MANAGEMENT,"Hospitality & Tourism industry segmentation, management structures and practices, the significance of service delivery, economic impact of tourism and career opportunities.  Concepts examined through readings, case studies and industry gues speakers."
168,HRI 103 INTRODUCTION TO MEETING PLANNING,"Focuses on basic aspects and skills involved in planning and managing meetings, exhibitions, events, and conventions. Covers the entire spectrum of the meetings industry, treating all aspects with a broad approach. Emphasizes types of meetings, meeting markets, industry suppliers and affiliates, budget and program planning, site selection and legal issues, registration and housing, and the development of timelines. This course is cross-listed with TRV 130 . Credit will not be awarded to both.",HTM 2474,INTRO TO MEETINGS & CONVENTION MGMT,A study of the meetings and convention industry.  Focus on the components and processes involved in developing and conducting meetings and conventions.
169,HRI 154 PRINCIPLES OF HOSPITALITY MANAGEMENT,"Presents basic understanding of the hospitality industry by tracing the industry's growth and development, reviewing the organization and management of lodging, food, and beverage operations, and focusing on industry opportunities and future trends.",HTM 1414,INTRO TO HOSPITALITY AND TOURISM MANAGEMENT,"Hospitality & Tourism industry segmentation, management structures and practices, the significance of service delivery, economic impact of tourism and career opportunities.  Concepts examined through readings, case studies and industry gues speakers."
170,HRI 229 PRINCIPLES OF MEETING PLANNING,"Focuses on planning and managing meetings. Examines entire sequence of events from conceptual stage of the first meeting plan through completion of the event. Emphasizes technical planning skills including site selection, negotiation with suppliers, meeting specifications, preparation, budgeting, special event planning, and working with facility staff to manage a successful meeting. This course is cross listed with TRV 235 . Credit will not be awarded for both.",HTM 2474,INTRO TO MEETINGS & CONVENTION MGMT,A study of the meetings and convention industry.  Focus on the components and processes involved in developing and conducting meetings and conventions.
171,HRI 257 CATERING MANAGEMENT,"Studies special functions in the hospitality industry. Presents lecture and demonstration in banquet layout, menus, services, sales and supervision.",HTM 2514,CATERING MANAGEMENT,"Introduces students to various venues in which catering services can be offered, and presents an overview of the functions, processes, and controls found in successful catering management and operations; emphasis is placed on the sales/marketing aspects of the business."
172,HRT 115 PLANT PROPAGATION,"Teaches principles and practices of plant propagation. Examines commercial and home practices. Provides experience in techniques using seed-spores, cuttings, grafting, budding, layering and division.",HORT 2244,PLANT PROPAGATION,Principles and practices of plant propagation by sexual and asexual methods.
173,HRT 137 ENVIRONMENTAL FACTORS IN PLANT GROWTH,"Explores environmental factors which affect plant growth, including rainfall, humidity, wind, temperature, sunlight, irrigation, heating, and shading. Examines methods of inducing and breeding dormancy, lighting, and shading systems, and the relationship between day length and flowering.",HORT 2234,ENVIRONMENTAL FACTORS IN HORTICULTURE,"Principles and practices in managing environmental factors - temperature, water, light, atmospheric gases and pollutants, and soil and minerals - that influence growth and production of horticultural plants."
174,HRT 201 LANDSCAPE PLANTS I + LANDSCAPE PLANTS II TAKEN WITH HRT 202 LANDSCAPE PLANTS I + LANDSCAPE PLANTS II,"Studies landscape use of plants. Considers ornamental value, growth habit, identification, and limitations.  Part I of II. | Studies landscape use of plants. Considers ornamental value, growth habit, identification, and limitations.  Part II of II.",HORT 3325,WOODY LANDSCAPE PLANTS + WOODY LANDSCAPE PLANTS,"Functions, growing requirements, hardiness, problems, and methods of identification of landscape plant materials. 3325:  Commonly available woody landscape plants. 3326:  Native and rare woody landscape plants."
175,HRT 205 SOILS,"Teaches theoretical and practical aspects of soils and other growing media. Examines media components, chemical and physical properties, and soil organisms. Discusses management and conservation.",ENSC 3134,SOILS IN THE LANDSCAPE,"A study of soils as functional landscape components, emphasizing their physical, chemical, mineralogical, and biological properties in relation to plant growth, nutrient availability, land-use management, and soil and water quality. Primarily for FOR/FIW, LAR, and other plant/earth science related majors. May not be taken by CSES or ENSC majors. Partially duplicates 3114 and 3124. Pre: one year of introductory CHEM or BIOL or GEOS."
176,HRT 207 PLANT PEST MANAGEMENT,"Teaches principles of plant pest management. Covers morphology and life cycles of insects and other small animal pests and plant pathogens. Lab stresses diagnosis, chemical and non-chemical control of specific pests, and pesticide safety.",ENT 4254,INSECT PEST MANAGEMENT,Principles of insect pest management with application to the major insect pests found in Virginia.  Pest management involves the utilization of all effective control practices in a program which is ecologically and economically efficient.  This course is intended for all students with an interest in efficient agricultural production and in reducing losses to our most diverse competitor. One year of General Biology required.
177,HRT 260 INTRODUCTION TO FLORAL DESIGN,"Teaches skills required for the composition of basic table arrangements. Includes the history of design styles, identification of flowers and green, identification and use of equipment, and conditioning and handling of flowers.",HORT 2164,FLORAL DESIGN,"Fundamental art theory, historical and cultural influences, tools and techniques as applied to current floral art. Emphasis on applied experiential learning through designing, building and producing acceptable floral displays for home and public environments. Sustainable and ethical practices in growing and purchasing flowers. Fee $128."
178,HRT 266 ADVANCED FLORAL DESIGN,"Teaches skills required for composition of traditional floral designs and contemporary floral designs. Includes use of exotic florals to create arrangement styles such as Japanese, European and Williamsburg.",HORT 2164,FLORAL DESIGN,"Fundamental art theory, historical and cultural influences, tools and techniques as applied to current floral art. Emphasis on applied experiential learning through designing, building and producing acceptable floral displays for home and public environments. Sustainable and ethical practices in growing and purchasing flowers. Fee $128."
179,HUM 153 INTRODUCTION TO APPALACHIAN STUDIES,"Explores the Appalachian region from a cross-disciplinary perspective, with readings on Appalachia drawn primarily from the humanities.  Considers the historical, environmental, political and economic contexts that shape Appalachia.",HUM 1704,INTRODUCTION TO APPALACHIAN STUDIES,"Introduces students to the history of the Appalachian region from European contact to the present.  Traces the idea of Appalachia by tracing ways in which Americans have imagined the region over time.  Explores humanistic problems of cultural identity, race and ethnicity, place and globalization, and impacts of natural resource extraction."
180,HUM 165 CONTROVERSIAL ISSUES IN CONTEMPORY AMERICAN CULTURE,"Introduces students to selected issues in contemporary American culture. Includes topic areas ranging from welfare reform, economic development, privacy, environmental protection and conservation, evolution vs. creation, to family values, and special interest lobbying in our state and national governments. Focuses on the development of the student's critical thinking skills by analyzing, evaluating, and reflecting on opposing sides of the same issue as expressed by public leaders, special interest groups and academicians.",HUM 2504,INTRODUCTION TO AMERICAN STUDIES,"Methodology and tools of American studies, with a focus on developing analytic skills to assess discourse across varied media.  Interdisciplinary investigation of histories, politics, cultures, and beliefs in the Americas, including the impacts of encounter and exchange.  Intensive study of a specific topic or period."
181,HUM 202 MODERN HUMANITIES,"Examines the values and expression of ideas of selected western and non-western cultures from the 1300s until 1900s, integrating the visual arts, literature, religion, music and philosophy within the context of history.  The assignments in this course require college-level reading, analysis of scholarly studies, and coherent communication through properly cited and formatted written reports. This is a Passport and UCGS transfer course.",HUM 1324,INTRODUCTORY HUMANITIES: THE MODERN WORLD,"The shifts in thought and values during the nineteenth and twentieth centuries in the global imagination, including issues of commerce, scientific inquiry, industrialization, nationalism, war, labor, gender, class differences, race, and the beginnings of postmodernity.  Emphasis on interpretive and analytic skills in terms of reading, discussing, and writing about the interrelationships among the arts, literature, philosophy, history, religion, and science, and their contributions toward shaping the values and aspirations of the age, including global contexts and Asian cultures."
182,HUM 210 INTRODUCTION TO WOMEN AND GENDER STUDIES,"Broadens understanding and awareness of women by exploring different cultural, historical, and gendered experiences of social groups throughout the world in relationship to such fields as art, literature, religion, philosophy, social sciences, and music.  The assignments in this course require college-level reading, analysis of scholarly studies, and coherent communication through properly cited and formatted written reports. This is a Passport and UCGS transfer course.",WGS 2224,WOMEN AND CREATIVITY,"Creativity, Power, & Politics analyzes the dimensions of creativity and the arts in the context of gender, sexuality, race, and class. Emphasis on identifying and interpreting intercultural human experiences related to the use of art in feminist social movements by examining how contexts change across time and in intersections with other identity categories."
183,HUM 211 SURVEY OF AMERICAN CULTURE I,Examines elements of our national culture as they evolved from the first European explorations through colonization and independence to the present day.  Part I of II.,HUM 2504,INTRODUCTION TO AMERICAN STUDIES,"Methodology and tools of American studies, with a focus on developing analytic skills to assess discourse across varied media.  Interdisciplinary investigation of histories, politics, cultures, and beliefs in the Americas, including the impacts of encounter and exchange.  Intensive study of a specific topic or period."
184,HUM 215 NATIVE AMERICAN CULTURE,"Surveys the cultural history of Native (Indian) peoples in the Americas from the pre-Columbian era until the present.  Studies history, religion, literature, arts, life-ways and world-views which comprise the diverse traditions of Native peoples.",AINS 1104,INTRODUCTION TO AMERICAN INDIAN STUDIES,Description not found
185,HUM 220 INTRODUCTION TO AFRICAN AMERICAN STUDIES,"Presents an interdisciplinary approach to the study of African-American life, history, and culture. Examines specific events, ideologies, and individuals that have shaped the contours of African-American life. Studies the history, sociology, economics, religion, politics, psychology, creative productions, and culture of African- Americans.  The assignments in this course require college-level reading, analysis of scholarly studies, and coherent communication through properly cited and formatted written reports. This is a Passport and UCGS transfer course.",AFST 1714,INTRODUCTION TO AFRICAN AMERICAN STUDIES,"Introduction to the interdisciplinary field of African American Studies. Consideration of key dimensions of African American experiences, including institutional contexts for African American cultural expression and responses to oppression. History of the field, exploration of subfields, and consideration of research methods. Emphasis on the interplay of African American Studies scholarship and activism."
186,HUM 246 CREATIVE THINKING,"Examines, analyzes, and develops creative and critical thinking processes with individual and group applications to solve business, scientific, social, environmental, and other practical problems.  The assignments in this course require college-level reading, analysis of scholarly studies, and coherent communication through properly cited and formatted written reports.",HUM 2204,THE CREATIVE PROCESS,"Explores ways in which creativity and design can be understood historically as well as understood and practiced in a classroom setting. Subjects include any or all of the following: theories of creativity; traditions associated with understanding and making several kinds of art; studying artworks from different cultural backgrounds, working with the limitations and possibilities inherent in design projects, and examining how and why they were created; and preparing final creative projects for classroom presentation."
187,HUM 256 COMPARATIVE MYTHOLOGY,"Studies the cultural expressions of mythology.  Considers selected mythologies representing diverse global culture, with emphasis on parallels and divergences in structure, purpose, and representation in literature and the arts.  The assignments in this course require college-level reading, analysis of scholarly studies, and coherent communication through properly cited and formatted written reports. This is a Passport and UCGS transfer course.",CLA 2444,ANCIENT GREEK AND ROMAN MYTHOLOGY,"Surveys ancient Greek and Roman mythology.  Provides students with an introduction to selected myths from ancient Greek and Roman literature, including appropriate historical background information.  Familiarizes students with how theories of myth have been applied to individual stories and how such mythological tales have been received by authors and artists in subsequent cultures.  Explores the interaction and interdependence of mythological tales from different cultures and perspectives.  In English."
188,HUM 259 THE GREEK AND ROMAN TRADITION,"Explores the significance of Greek and Roman cultures on the individual and society, expressed prominently from the Classical Age in Athens to its survival during Roman times.  Examines the key contributions that the Greeks and Romans have imparted upon storytelling, theater, philosophy, civics, political morphology, and the arts and the impact they have in the modern world. The assignments in this course require college-level reading, analysis of scholarly studies, and coherent communication through properly cited and formatted written reports. This is a Passport and UCGS transfer course.",CLA 2444,ANCIENT GREEK AND ROMAN MYTHOLOGY,"Surveys ancient Greek and Roman mythology.  Provides students with an introduction to selected myths from ancient Greek and Roman literature, including appropriate historical background information.  Familiarizes students with how theories of myth have been applied to individual stories and how such mythological tales have been received by authors and artists in subsequent cultures.  Explores the interaction and interdependence of mythological tales from different cultures and perspectives.  In English."
189,ITA 201 INTERMEDIATE ITALIAN I,"Continues to develop cultural awareness, listening, speaking, reading, and writing skills, and introduces complex sentence structures. Classes may be conducted in target language. Part I of II. This is a UCGS transfer course.",ITAL 2105,INTERMEDIATE ITALIAN,"Emphasizes comprehension of written and spoken Italian, communication in Italian, literature, and culture of Italy."
190,ITA 202 INTERMEDIATE ITALIAN II,"Continues to develop cultural awareness, listening, speaking, reading, and writing skills, and emphasizes complex sentence structures. Classes may be conducted in the target language. Part II of II. This is a UCGS transfer course.",ITAL 2106,INTERMEDIATE ITALIAN,"Emphasizes comprehension of written and spoken Italian, communication in Italian, literature, and culture of Italy."
191,ITE 140 SPREADSHEETING FOR BUSINESS,"Provides a working knowledge of a commercial spreadsheet package to include design and development of a variety of worksheets, preparing graphs, working with database queries, macro writing, menu techniques, and decision analysis tools.",ACIS 1504,INTRODUCTION TO BUSINESS ANALYTICS AND BUSINESS INTELLIGENCE,"Foundational data analytics using Microsoft Excel. Utilizes the data analytics framework and many Excel functions to address various business problems. Introduction to big datasets, how to navigate them, and the many complexities of using them, including relevant ethical issues. Identification and construction of various data visualizations and charts to be used in presentations."
192,MEN 110 INTRODUCTION TO ABNORMAL PSYCHOLOGY,"Studies symptoms, causes and treatment of mental deficiency, neurosis, psychosis and character disorders, with specific relationship to work of the mental health technologists.",PSYC 3014,ABNORMAL PSYCHOLOGY,"Survey of various types of psychological disorders and of contrasting theoretical views and representative research on the etiology and prognosis of these disorders. Analysis of multiple interacting factors that influence psychopathology, including biology, cognition, and sociocultural factors. Using the Diagnostic and Statistical Manual (DSM-5) to diagnose psychopathologies accurately. Ethical issues pertaining to clinical practice."
193,MKT 120 FUNDAMENTALS OF FASHION,"Develops an understanding of the principles and procedures involved in the production, distribution, and consumption of fashion merchandise. Traces the history and development of fashion and how these changes affect the fashion merchandising world.",FMD 1224,INTRODUCTION TO THE FASHION INDUSTRY,"Development, structure and operations of textile and apparel manufacturers, marketers and retailers in the fashion industry and the product types including menswear, womenswear, childrenswear and accessories.  Identification of fashion careers and major fashion markets and vendors both domestic and international.  Basic processes and principles governing forecasting fashion acceptance, movement and change as influenced by economic, sociological, psychological, political and technological factors.  Sources of industry information such as trade journals, industry websites and company publications."
194,MKT 221 PUBLIC RELATIONS,"Introduces public relations as a marketing activity and focuses on media relations, publicity, strategic planning, public relations research, communication with multiple audiences, and the elements of an effective public relations campaign to influence public opinion. Equips students with the basic skills for writing publicity materials and coordinating public relations campaigns and media kits. This course applies basic writing and communication skills to the principles of public relations. This is an upper level course intended for students planning to study in public relations or a related field. This course is cross-listed with CST 221 .  Credit will not be awarded for both.",PR 2044,PRINCIPLES OF PUBLIC RELATIONS,Principles of public relations practice; public relations in organizations; responsibilities of the public relations practitioner; legal and ethical considerations; role of public relations in society; history of the field and key people who influenced its development; choosing appropriate communication channels/media.
195,MSC 101 THE FOUNDATIONS OF THE U.S. AIR FORCE,"Provides an introduction to the United States Air Force and Air Force Reserve Officers' Training Corps. Includes the mission and organization of the Air Force, officership and professionalism, military customs and courtesies, Air Force officer opportunities, and an introduction to communication skills. [PVCC Students will take AIRS classes at the University of Virginia for PVCC credit.] Part I of II.",AS 1115,INTRO TO THE AIR FORCE,"Introduction to the United States Air Force and Air Force Reserve Officer Training Corps.  Mission and organization of the Air Force, officership and professionalism, military customs and courtesies, Air Force officer opportunities, and introduction to communication skills."
196,MSC 102 THE FOUNDATIONS OF THE U.S. AIR FORCE,"Provides an introduction to the United States Air Force and Air Force Reserve Officers' Training Corps. Includes the mission and organization of the Air Force, officership and professionalism, military customs and courtesies, Air Force officer opportunities, and an introduction to communication skills. [PVCC Students will take AIRS classes at the University of Virginia for PVCC credit.] Part II of II.",AS 1116,INTRO TO THE AIR FORCE,"Introduction to the United States Air Force and Air Force Reserve Officer Training Corps.  Mission and organization of the Air Force, officership and professionalism, military customs and courtesies, Air Force officer opportunities, and introduction to communication skills."
197,MSC 125 SEA POWER AND MARITIME AFFAIRS,"Provides an in-depth assessment of the broad principles, concepts and elements of sea power with historical and modern applications to the United States and other world powers.",MN 2104,SEAPOWER AND MARITIME AFFAIRS,"A survey of naval history from the American Revolution to the present with emphasis on major developments in strategy, tactics, and technology.  Discussion of the geopolitical theory of Alfred Thayer Mahan.  Explores present concerns in seapower and maritime affairs, including the economic and political dimensions of ocean commerce, the Law of the Sea, a comparison of U.S. and Soviet maritime strategies, and current naval affairs."
198,MSC 130 INTRODUCTION TO NAVAL SCIENCE,"Provides an introduction for midshipmen to the organization of the naval service, the varied career opportunities available, the long-held customs and traditions of the service, basic leadership, ethics and character development, the duties of a junior officer and Navy policies on wellness issues. Prepares NROTC midshipmen for their first experience onboard a Navy ship by imparting basic information concerning shipboard procedures and safety.",MN 1004,INTRODUCTION TO NAVAL SCIENCE,"A basic introduction to the Naval profession and concept of sea power. Explores the role of the commissioned officer and covers uniform regulations, the Uniform Code of Military Justice, Naval terminology, the Oath of Office, the Navy Ethos, and customs and courtesies. Also covers basic communication and the importance of training and qualification. The relationship to sea power and maritime strategy explained through the missions of the Navy and Marine Corps, briefly touching on the mission of other branches. Explains how directives are revised and published, as well as possible threats against platforms. Basic shipboard damage control covered with an emphasis on combating naval casualties."
199,MSC 201 THE EVOLUTION OF AIR AND SPACE POWER,"Examines general aspects of air and space power through a historical perspective. Covers a time period from the first balloons and dirigibles to the use of Unmanned Aerial Vehicles in today's technologically advanced Air Force. Historical examples serve to extrapolate the development of Air Force capabilities (competencies) and missions (functions) to demonstrate the evolution of what has become today's USAF air and space power. Examines several fundamental truths associated with war in the third dimension; e.g. Principles of War and Tenets of Air and Space Power. Provides a knowledge-level understanding for the general element and employment of air and space power from an institutional, doctrinal, and historical perspective. Continues a discussion of the importance of the Air Force Core Values through use of operational examples and historical Air Force leaders and develops cadets' communication skills. Part I of II.",AS 2115,TEAM AND LEADERSHIP FUNDAMENTALS,"A fundamental understanding of both leadership and team building. 2115: Followership, motivation, listening, problem solving, full-range leadership, standards and accountability, self-assessment, oral and written communication, and financial readiness of an Air Force officer. 2116: Human relations, team building models, ethical decision making, stress management and resiliency, and conflict resolution."
200,MSC 202 THE EVOLUTION OF AIR AND SPACE POWER,"Examines general aspects of air and space power through a historical perspective. Covers a time period from the first balloons and dirigibles to the use of Unmanned Aerial Vehicles in today's technologically advanced Air Force. Historical examples serve to extrapolate the development of Air Force capabilities (competencies) and missions (functions) to demonstrate the evolution of what has become today's USAF air and space power. Examines several fundamental truths associated with war in the third dimension; e.g. Principles of War and Tenets of Air and Space Power. Provides a knowledge-level understanding for the general element and employment of air and space power from an institutional, doctrinal, and historical perspective. Continues a discussion of the importance of the Air Force Core Values through use of operational examples and historical Air Force leaders and develops cadets' communication skills. Part II of II.",AS 2116,TEAM AND LEADERSHIP FUNDAMENTALS,"A fundamental understanding of both leadership and team building. 2115: Followership, motivation, listening, problem solving, full-range leadership, standards and accountability, self-assessment, oral and written communication, and financial readiness of an Air Force officer. 2116: Human relations, team building models, ethical decision making, stress management and resiliency, and conflict resolution."
201,MSC 230 NAVAL SHIP SYSTEMS I: NAVAL ENGINEERING,"Provides an understanding of the physical properties and laws of thermodynamic systems, shipboard auxiliary systems, main propulsion, and electrical theory of shipboard power generation and distribution systems. Examines the criteria of ship design for seaworthiness, structural integrity and operational employment, the principles of fluid dynamics and shipboard safety.",MN 1104,NAVAL SHIPS SYSTEMS I: ENGINEERING,"Ship characteristics and types.  Includes ship design, hydrodynamic forces, stability, main propulsion, electrical and auxiliary systems, interior communications, ship control, and damage control.  One semester of college level science required."
202,MSC 231 NAVAL SHIP SYSTEMS II: WEAPONS,"Provides an in-depth understanding of Naval Weapons, their associated systems, and the integration of these weapon systems into the overall naval strategy.",MN 2004,NAVAL SHIPS SYSTEMS II: WEAPONS,"Theory and employment of naval weapons systems.  Includes threat detection, evaluation, weapon selection, delivery systems, guidance, and warhead design.  Elements of command, control, and communications."
203,MTH 155 STATISTICAL REASONING,"Presents elementary statistical methods and concepts including visual data presentation, descriptive statistics, probability, estimation, hypothesis testing, correlation and linear regression. Emphasis is placed on the development of statistical thinking, simulation, and the use of statistical software. Credit will not be awarded for both MTH 155 : Statistical Reasoning and MTH 245 : Statistics I or equivalent. This is a Passport and UCGS transfer course.",STAT 2004,INTRODUCTORY STATISTICS,"Fundamental concepts and methods of statistics with emphasis on interpretation of statistical arguments and statistical reasoning. Using modern, accessible statistical software and technology, an introduction to design of experiments (including data collection), data analysis, data visualization, correlation and regression, concepts of probability theory, sampling errors, confidence intervals, and hypothesis tests. Include real-world applications to develop problem-solving skills and consider ethical implications within the context of learning from data. No credit will be given for 2004 if taken with or after any other statistics course, except STAT 2984 ."
204,MTH 156 ELEMENTARY GEOMETRY,Presents the fundamentals of plane and solid geometry and introduces non-Euclidean geometries and current topics.,MATH 1624,GEOMETRY FOR TEACHERS,"Study of key geometry concepts for prospective elementary and middle school teachers; multiple perspectives including transformational, coordinate, Euclidean and analytical geometry; geometric modeling; geometric and spatial reasoning. 1624 may not be taken by math majors for credit."
205,MTH 245 STATISTICS I,"Presents an overview of statistics, including descriptive statistics, elementary probability, probability distributions, estimation, hypothesis testing, correlation, and linear regression. Credit will not be awarded for both MTH 155 : Statistical Reasoning and MTH 245 : Statistics I or equivalent. This is a Passport and UCGS transfer course.",STAT 3005,STATISTICAL METHODS,"3005: Basic statistical methodology: exploratory data techniques, estimation, inference, comparative analysis by parametric, nonparametric, and robust procedures. Analysis of variance (one-way), multiple comparisons, and categorical data. Includes real-world examples. Develops problem-solving skills and ethical reasoning within the context of learning from data. 3006:  Analysis of variance, simple and multiple, linear and nonlinear regression, analysis of covariance. Use of MINITAB. STAT 3005 duplicates STAT 3615 and STAT 4604 , only one may be taken for credit. STAT 3006 duplicates STAT 3616 , STAT 4604 and STAT 4706 , only one may be taken for credit."
206,MTH 246 STATISTICS II,"Continues the study of estimation and hypothesis testing with emphasis on advanced regression topics, experimental design, analysis of variance, chi-square tests and non-parametric methods.",STAT 3006,STATISTICAL METHODS,"3005: Basic statistical methodology: exploratory data techniques, estimation, inference, comparative analysis by parametric, nonparametric, and robust procedures. Analysis of variance (one-way), multiple comparisons, and categorical data. Includes real-world examples. Develops problem-solving skills and ethical reasoning within the context of learning from data. 3006:  Analysis of variance, simple and multiple, linear and nonlinear regression, analysis of covariance. Use of MINITAB. STAT 3005 duplicates STAT 3615 and STAT 4604 , only one may be taken for credit. STAT 3006 duplicates STAT 3616 , STAT 4604 and STAT 4706 , only one may be taken for credit."
207,MTH 261 APPLIED CALCULUS I,"Introduces limits, continuity, differentiation and integration of algebraic, exponential and logarithmic functions, and techniques of integration with an emphasis on applications in business, social sciences and life sciences. This is a Passport and UCGS transfer course.",MATH 1025,ELEMENTARY CALCULUS,"Quantitative and computational thinking to address relevant global issues.  Unified calculus course covering techniques and applications of differential and integral calculus for functions of one variable.  Constitutes the standard first-year mathematics courses for the life sciences. 1025: Differential calculus, graphing, applications for the life sciences, use of spreadsheet software. Assumes 2 units of high school algebra, 1 unit of geometry, 1/2 unit of trigonometry and precalculus. 1026: Integral calculus, numerical techniques, elementary differential equations, applications for the life sciences, use of spreadsheet and scientific software. A student can earn credit for at most one of 1025 and 1225. A student can earn credit for at most one of 1026 and 1226."
208,MTH 262 APPLIED CALCULUS II,"Covers techniques of integration, an introduction to differential equations and multivariable calculus, with an emphasis throughout on applications in business, social sciences and life sciences.",MATH 1026,ELEMENTARY CALCULUS,"Quantitative and computational thinking to address relevant global issues.  Unified calculus course covering techniques and applications of differential and integral calculus for functions of one variable.  Constitutes the standard first-year mathematics courses for the life sciences. 1025: Differential calculus, graphing, applications for the life sciences, use of spreadsheet software. Assumes 2 units of high school algebra, 1 unit of geometry, 1/2 unit of trigonometry and precalculus. 1026: Integral calculus, numerical techniques, elementary differential equations, applications for the life sciences, use of spreadsheet and scientific software. A student can earn credit for at most one of 1025 and 1225. A student can earn credit for at most one of 1026 and 1226."
209,MTH 263 CALCULUS I,"Presents concepts of limits, derivatives, differentiation of various types of functions and use of differentiation rules, application of differentiation, antiderivatives, integrals and applications of integration. This is a Passport and UCGS transfer course.",MATH 1225,CALCULUS OF A SINGLE VARIABLE,"1225-1226: CALCULUS OF A SINGLE VARIABLE Quantitative and computational thinking to address relevant intercultural and global issues. Unified calculus course covering techniques of differential and integral calculus for functions of one variable. Constitutes the standard first-year mathematics courses for science and engineering. 1225: limits, continuity, differentiation, transcendental functions, applications of differentiation, introduction to integration. Assumes 2 units of high school algebra, 1 unit of geometry, 1/2 unit each of trigonometry and precalculus, and placement by Math Dept. 1226: techniques and applications of integration, trapezoidal and Simpson’s rules, improper integrals, sequences and series, power series, parametric curves and polar coordinates, software-based techniques. A student can earn credit for at most one of 1025 and 1225. A student can earn credit for at most one of 1525 and 1225. A student can earn credit for at most one of 1026 and 1226. Pre: Grade of at least C- in 1225 for 1226."
210,MTH 264 CALCULUS II,"Continues the study of calculus of algebraic and transcendental functions including rectangular, polar, and parametric graphing, indefinite and definite integrals, methods of integration, and power series along with applications. Features instruction for mathematical, physical and engineering science programs. This is a UCGS transfer course.",MATH 1226,CALC OF SINGLE VARIABLE,"1225-1226: CALCULUS OF A SINGLE VARIABLE Quantitative and computational thinking to address relevant intercultural and global issues. Unified calculus course covering techniques of differential and integral calculus for functions of one variable. Constitutes the standard first-year mathematics courses for science and engineering. 1225: limits, continuity, differentiation, transcendental functions, applications of differentiation, introduction to integration. Assumes 2 units of high school algebra, 1 unit of geometry, 1/2 unit each of trigonometry and precalculus, and placement by Math Dept. 1226: techniques and applications of integration, trapezoidal and Simpson’s rules, improper integrals, sequences and series, power series, parametric curves and polar coordinates, software-based techniques. A student can earn credit for at most one of 1025 and 1225. A student can earn credit for at most one of 1525 and 1225. A student can earn credit for at most one of 1026 and 1226. Pre: Grade of at least C- in 1225 for 1226."
211,MTH 266 LINEAR ALGEBRA,"Covers matrices, vector spaces, determinants, solutions of systems of linear equations, basis and dimension, eigenvalues, and eigenvectors. Features instruction for mathematical, physical and engineering science programs.",MATH 2114,INTRO LINEAR ALGEBRA,"Vector and matrix algebra systems of linear equations, linear equations, linear independence, bases, orthonormal bases, rank, linear transformations, diagonalization, implementation with contemporary software. Math 1226 or a grade of at least B in VT MATH 1225 . A student can earn credit for at most one of 2114 and 2405H."
