Unnamed: 0,CCC Course,CCC Description,UCSC Course Code,UCSC Course Title,UCSC Description
399,MATH 1BH Calculus - HONORS,"This course examines the fundamentals of integral calculus. Because it is an honors course students will be expected to complete extra assignments to gain deeper insight into calculus. Faculty Requirements Course Family Not Applicable Course Justification This course meets a general education requirement for De Anza and Cal-GETC. This course is a required core course for the A.S.-T degree in Mathematics. This course is UC and CSU transferable. This is the second course in a sequence of four courses in calculus. This course emphasizes single variable integral calculus. This course is the honors version and as a result, includes more advanced assignments and assessments. Foothill Equivalency Does the course have a Foothill equivalent? No Foothill Course ID Course Philosophy Course Philosophy This course introduces the problem of finding the area under the graph of a function over an interval-first by approximating the areas of rectangles fitted in the desired region, and then by invoking limits to find the exact area. The two seemingly unrelated problems - one, of finding the slope of the tangent line and two, of finding the area under a curve - are in fact very intimately related, as the student learns, through the fundamental theorem of calculus. In fact, differentiation (Math 1A) and integration (Math 1B) are inverse processes.

The solution to the area problem is useful in solving other problems. For example, it can be used to find arclength of curves, as well as volume and surface area of certain solids. It has applications in many fields of mathematics, such as, probability and differential equations, as well as other disciplines, such as physics and economics.

This course contains historical notes relevant to the material covered in the sections they appear. They are not part of the actual course outline. These historical notes are to be used at the discretion of the instructor. Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",MATH 11B,Calculus with Applications,"Starting with the fundamental theorem of calculus and related techniques, the integral of functions of a single variable is developed and applied to problems in geometry, probability, physics, and differential equations. Polynomial approximations, Taylor series, and their applications conclude the course. Students cannot receive credit for this course and MATH 19B , or AM 11B , or AM 15B, or ECON 11B."
400,MATH 1DH Calculus - HONORS,"Topics in this course include partial derivatives, multiple integrals, and vector calculus. Because it is an honors course, students will be expected to complete extra assignments to gain deeper insight into calculus. Faculty Requirements Course Family Not Applicable Course Justification This course meets a general education requirement for De Anza and Cal-GETC. This course is a required core course for the A.S.-T degree in Mathematics. It is also CSU and UC transferable. This is the fourth course in a sequence of four courses in calculus. This course emphasizes multivariable calculus. The content in this course is required for advanced courses in mathematics and the sciences. The course is an honors version and as a result, includes more advanced assignments and assessments. Foothill Equivalency Does the course have a Foothill equivalent? No Foothill Course ID Course Philosophy Course Philosophy This course is a continuation of materials studied in the previous calculus series. Multi-variable functions expressed in the various coordinate systems are studied using graphs, limits and partial derivatives. The fundamental theorem of line integrals, Green's theorem, Stokes' theorem and the Divergence theorem are studies and used to evaluate line, multiple and flux integrals. Techniques of differentiations and integrations of scalar and vector valued functions are studied and further made relevant by examining and solving problems from geometry, science, engineering as well as problems that explore multicultural perspectives and from multiple fields of interest to students. Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",MATH 22,Introduction to Calculus of Several Variables,"Functions of several variables. Continuity and partial derivatives. The chain rule, gradient and directional derivative. Maxima and minima, including Lagrange multipliers. The double and triple integral and change of variables. Surface area and volumes. Applications from biology, chemistry, earth sciences, engineering, and physics. Students cannot receive credit for this course and MATH 23A ."
401,MATH 1CH Calculus - HONORS,"Students in this course will learn about infinite series, lines, and planes in three dimensions, vectors in two and three dimensions, parametric equations of curves, derivatives, and integrals of vector functions. Because it is an honors course the students will be expected to complete extra assignments to gain deeper insight into calculus. Faculty Requirements Course Family Not Applicable Course Justification This course meets a general education requirement for De Anza and Cal-GETC. This course is a required core course for the A.S.-T degree in Mathematics. This course is UC and CSU transferable. This is the third course in a sequence of four courses in calculus. This course emphasizes calculus in polar coordinates and for parametric functions, sequences and series introduce vectors, lines, planes, and vector functions in 3 dimensions. This course is the honors version and as a result, includes more advanced assignments and assessments. Foothill Equivalency Does the course have a Foothill equivalent? No Foothill Course ID Course Philosophy Course Philosophy Building on the ideas and techniques of Calculus 1A and 1B, Calculus 1C introduces students to the application of derivatives and integrals to studying infinite series. Of particular interest is the way in which calculating definite integrals, not possible using elementary techniques, can be approximated using infinite series. Students are then introduced to lines, planes and vectors in three dimensions as well as alternate coordinate systems for representing them. At this juncture, students learn to compare and contrast the strengths and weaknesses of the various coordinate systems, and to develop ideas regarding their appropriate usage. Finally, students are introduced to derivatives and integrals of vector functions, and apply these ideas to arc length, curvature, and motion in space. Students are also introduced to parametric equations of curves. Here, students experience for the first time that the ideas of differentiation and integration are not limited to two dimensions, but can be generalized and studied in multi-dimensional format.

This outline contains historical notes relevant to the material covered in the sections they appear. They are not part of the actual course outline. These historical notes are to be used at the discretion of the instructor. Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",MATH 22,Introduction to Calculus of Several Variables,"Functions of several variables. Continuity and partial derivatives. The chain rule, gradient and directional derivative. Maxima and minima, including Lagrange multipliers. The double and triple integral and change of variables. Surface area and volumes. Applications from biology, chemistry, earth sciences, engineering, and physics. Students cannot receive credit for this course and MATH 23A ."
402,MATH 1D Calculus,"Topics in this course include partial derivatives, multiple integrals, vector calculus, and their applications. Faculty Requirements Course Family Not Applicable Course Justification This course meets a general education requirement for De Anza and Cal-GETC. This course is a required core course for the A.S.-T degree in Mathematics. It is also CSU and UC transferable. This is the fourth course in a sequence of four courses in calculus. This course emphasizes multivariable calculus. Foothill Equivalency Does the course have a Foothill equivalent? No Foothill Course ID Course Philosophy Course Philosophy This course is a continuation of materials studied in the previous calculus series. Multivariable functions expressed in the various coordinate systems are studied using graphs, limits and partial derivatives. The fundamental theorem of line integrals, Green's theorem, Stokes' theorem and the Divergence theorem are studies and used to evaluate line, multiple and flux integrals. Techniques of differentiations and integrations of scalar and vector valued functions are studied and further made relevant by examining and solving problems from geometry, science, engineering as well as problems that explore multicultural perspectives and from multiple fields of interest to students. Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",MATH 22,Introduction to Calculus of Several Variables,"Functions of several variables. Continuity and partial derivatives. The chain rule, gradient and directional derivative. Maxima and minima, including Lagrange multipliers. The double and triple integral and change of variables. Surface area and volumes. Applications from biology, chemistry, earth sciences, engineering, and physics. Students cannot receive credit for this course and MATH 23A ."
403,MATH 1C Calculus,"Students in this course will learn about infinite series, lines, and planes in three dimensions, vectors in two and three dimensions, parametric equations of curves, derivatives, and integrals of vector functions. Faculty Requirements Course Family Not Applicable Course Justification This course meets a general education requirement for De Anza and Cal-GETC. This course is CSU and UC transferable. This course is a required core course for the A.S.-T degree in Mathematics. This is the third course in a sequence of four courses in calculus. This course emphasizes calculus in polar coordinates and for parametric functions, sequences and series, introduces vectors, lines, planes, and vector functions in three dimensions. Foothill Equivalency Does the course have a Foothill equivalent? No Foothill Course ID Course Philosophy Course Philosophy Building on the ideas and techniques of calculus in MATH 1A and MATH 1B, this course introduces students to the application of derivatives and integrals to studying infinite series. Of particular interest is the way in which calculating definite integrals, not possible using elementary techniques, can be approximated using infinite series. Students are then introduced to lines, planes and vectors in three dimensions as well as alternate coordinate systems for representing them. At this juncture, students learn to compare and contrast the strengths and weaknesses of the various coordinate systems, and to develop ideas regarding their appropriate usage. Finally, students are introduced to derivatives and integrals of vector functions, and apply these ideas to arc length, curvature, and motion in space. Students are also introduced to parametric equations of curves. Here, students experience for the first time that the ideas of differentiation and integration are not limited to two dimensions, but can be generalized and studied in multi-dimensional format.

This outline contains historical notes relevant to the material covered in the sections they appear. They are not part of the actual course outline. These historical notes are to be used at the discretion of the instructor. Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",MATH 22,Introduction to Calculus of Several Variables,"Functions of several variables. Continuity and partial derivatives. The chain rule, gradient and directional derivative. Maxima and minima, including Lagrange multipliers. The double and triple integral and change of variables. Surface area and volumes. Applications from biology, chemistry, earth sciences, engineering, and physics. Students cannot receive credit for this course and MATH 23A ."
404,CHEM 1A General Chemistry,"This course provides an introduction to the structure and reactivity of matter at the molecular level, as well as an application of critical reasoning to modern chemical theory and structured numerical problem-solving. Students will learn the development of molecular structure from rudimentary quantum mechanics, including an introduction to ionic and covalent bonding; chemical problem solving involving both formula and reaction stoichiometry employing the unit analysis method, and be introduced to thermochemistry and a discussion of the first law of thermodynamics. Faculty Requirements Course Family Not Applicable Course Justification This course is a major preparation requirement in the discipline of Chemistry at all CSUs and UCs. This course meets a general education requirement for De Anza GE and Cal-GETC. This course is a part of the Biological Sciences A.S. degree. This is the first of three courses in the General Chemistry sequence of classes where students are introduced to foundational topics in chemistry. Foothill Equivalency Does the course have a Foothill equivalent? No Foothill Course ID Course Philosophy Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",CHEM 3A,General Chemistry,"The first course in UCSC's three-quarter introductory chemistry series. Topics in this quarter include atomic theory and structure, the periodic table, chemical bonding, molecules and their structure, intramolecular forces, and chemical reactions and stoichiometry."
405,CHEM 1AH General Chemistry - HONORS,"This course provides an introduction to the structure and reactivity of matter at the molecular level, as well as an application of critical reasoning to modern chemical theory and structured numerical problem-solving. Students will learn the development of molecular structure from rudimentary quantum mechanics, including an introduction to ionic and covalent bonding; chemical problem-solving involving both formula and reaction stoichiometry employing the unit analysis method, and be introduced to thermochemistry and a discussion of the first law of thermodynamics. Additionally, this course is part of the Honors Program. Faculty Requirements Course Family Not Applicable Course Justification This course is a major preparation requirement in the discipline of Chemistry at all CSUs and UCs. This course meets a general education requirement for De Anza GE and Cal-GETC. This course is a part of the Biological Sciences A.S. degree. This is the first of three courses in the General Chemistry sequence of classes where students are introduced to foundational topics in chemistry. Additionally, this course is a part of the Honors Program. Foothill Equivalency Does the course have a Foothill equivalent? No Foothill Course ID Course Philosophy Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",CHEM 3A,General Chemistry,"The first course in UCSC's three-quarter introductory chemistry series. Topics in this quarter include atomic theory and structure, the periodic table, chemical bonding, molecules and their structure, intramolecular forces, and chemical reactions and stoichiometry."
406,CHEM 1B General Chemistry,"This course is a continuation of an introduction to the principles of chemistry covering the investigations of intermolecular forces and their effects on chemical and physical properties. Also covered are investigations of reversible reactions from the standpoints of kinetics, thermodynamics, and equilibrium. Investigation and application of gas laws and kinetic molecular theory. Faculty Requirements Course Family Not Applicable Course Justification This course is a major preparation requirement in the discipline of Chemistry at all CSUs and UCs. This course meets a general education requirement for Cal-GETC. This is the second of three courses in the General Chemistry sequence of classes where students are introduced to foundational topics in chemistry, preparing the students for upper-division coursework in both chemistry and biology. Foothill Equivalency Does the course have a Foothill equivalent? No Foothill Course ID Course Philosophy Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",CHEM 4A,Advanced General Chemistry: Molecular Structure and Reactivity,"The first course of the two-quarter accelerated general chemistry series intended for students with a strong high school chemistry background. Coverage includes atomic structure and periodicity, general concepts of chemical bonding, covalent bonding, chemical equilibria and acid-base equilibria. To enroll in CHEM 4A , students must complete an ALEKS prep module. To access this module, find a link in the ""Class Notes"" section of CHEM 4A in the schedule of classes. Students cannot enroll in CHEM 4A after receiving credit with a 'C' or better in CHEM 3A ."
407,CHEM 1C General Chemistry and Qualitative Analysis,"This is the third and final quarter in the year-long General Chemistry sequence. In this class, advanced equilibrium concepts pertaining to solubility and buffers will be discussed. This will be followed by an introduction to electrochemistry, the chemistry of transition metals, and nuclear chemistry. Faculty Requirements Course Family Not Applicable Course Justification This course is a major preparation requirement in the discipline of Chemistry at all CSUs and UCs. This course meets a general education requirement for Cal-GETC. This is the third of three courses in the General Chemistry sequence of classes where students are introduced to foundational topics in chemistry, preparing the students for upper-division coursework in both chemistry and biology. Foothill Equivalency Does the course have a Foothill equivalent? No Foothill Course ID Course Philosophy Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",CHEM 4A,Advanced General Chemistry: Molecular Structure and Reactivity,"The first course of the two-quarter accelerated general chemistry series intended for students with a strong high school chemistry background. Coverage includes atomic structure and periodicity, general concepts of chemical bonding, covalent bonding, chemical equilibria and acid-base equilibria. To enroll in CHEM 4A , students must complete an ALEKS prep module. To access this module, find a link in the ""Class Notes"" section of CHEM 4A in the schedule of classes. Students cannot enroll in CHEM 4A after receiving credit with a 'C' or better in CHEM 3A ."
408,CHEM 1A General Chemistry,"This course provides an introduction to the structure and reactivity of matter at the molecular level, as well as an application of critical reasoning to modern chemical theory and structured numerical problem-solving. Students will learn the development of molecular structure from rudimentary quantum mechanics, including an introduction to ionic and covalent bonding; chemical problem solving involving both formula and reaction stoichiometry employing the unit analysis method, and be introduced to thermochemistry and a discussion of the first law of thermodynamics. Faculty Requirements Course Family Not Applicable Course Justification This course is a major preparation requirement in the discipline of Chemistry at all CSUs and UCs. This course meets a general education requirement for De Anza GE and Cal-GETC. This course is a part of the Biological Sciences A.S. degree. This is the first of three courses in the General Chemistry sequence of classes where students are introduced to foundational topics in chemistry. Foothill Equivalency Does the course have a Foothill equivalent? No Foothill Course ID Course Philosophy Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",CHEM 4A,Advanced General Chemistry: Molecular Structure and Reactivity,"The first course of the two-quarter accelerated general chemistry series intended for students with a strong high school chemistry background. Coverage includes atomic structure and periodicity, general concepts of chemical bonding, covalent bonding, chemical equilibria and acid-base equilibria. To enroll in CHEM 4A , students must complete an ALEKS prep module. To access this module, find a link in the ""Class Notes"" section of CHEM 4A in the schedule of classes. Students cannot enroll in CHEM 4A after receiving credit with a 'C' or better in CHEM 3A ."
409,CHEM 1AH General Chemistry - HONORS,"This course provides an introduction to the structure and reactivity of matter at the molecular level, as well as an application of critical reasoning to modern chemical theory and structured numerical problem-solving. Students will learn the development of molecular structure from rudimentary quantum mechanics, including an introduction to ionic and covalent bonding; chemical problem-solving involving both formula and reaction stoichiometry employing the unit analysis method, and be introduced to thermochemistry and a discussion of the first law of thermodynamics. Additionally, this course is part of the Honors Program. Faculty Requirements Course Family Not Applicable Course Justification This course is a major preparation requirement in the discipline of Chemistry at all CSUs and UCs. This course meets a general education requirement for De Anza GE and Cal-GETC. This course is a part of the Biological Sciences A.S. degree. This is the first of three courses in the General Chemistry sequence of classes where students are introduced to foundational topics in chemistry. Additionally, this course is a part of the Honors Program. Foothill Equivalency Does the course have a Foothill equivalent? No Foothill Course ID Course Philosophy Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",CHEM 4A,Advanced General Chemistry: Molecular Structure and Reactivity,"The first course of the two-quarter accelerated general chemistry series intended for students with a strong high school chemistry background. Coverage includes atomic structure and periodicity, general concepts of chemical bonding, covalent bonding, chemical equilibria and acid-base equilibria. To enroll in CHEM 4A , students must complete an ALEKS prep module. To access this module, find a link in the ""Class Notes"" section of CHEM 4A in the schedule of classes. Students cannot enroll in CHEM 4A after receiving credit with a 'C' or better in CHEM 3A ."
410,CHEM 1BH General Chemistry - HONORS,"This course is a continuation of an introduction to the principles of chemistry covering the investigations of intermolecular forces and their effects on chemical and physical properties. Also covered are investigations of reversible reactions from the standpoints of kinetics, thermodynamics, and equilibrium. Investigation and application of gas laws and kinetic molecular theory. Additionally, this course is part of the Honors Program. Faculty Requirements Course Family Not Applicable Course Justification This course is a major preparation requirement in the discipline of Chemistry at all CSUs and UCs. This course meets a general education requirement for Cal-GETC. This is the second of three courses in the General Chemistry sequence of classes where students are introduced to foundational topics in chemistry, preparing the students for upper-division coursework in both chemistry and biology. Additionally, this course is part of the Honors Program. Foothill Equivalency Does the course have a Foothill equivalent? No Foothill Course ID Course Philosophy Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",CHEM 4A,Advanced General Chemistry: Molecular Structure and Reactivity,"The first course of the two-quarter accelerated general chemistry series intended for students with a strong high school chemistry background. Coverage includes atomic structure and periodicity, general concepts of chemical bonding, covalent bonding, chemical equilibria and acid-base equilibria. To enroll in CHEM 4A , students must complete an ALEKS prep module. To access this module, find a link in the ""Class Notes"" section of CHEM 4A in the schedule of classes. Students cannot enroll in CHEM 4A after receiving credit with a 'C' or better in CHEM 3A ."
411,CHEM 1CH General Chemistry and Qualitative Analysis - HONORS,"This is the third and final quarter in the year-long General Chemistry sequence. In this class, advanced equilibrium concepts pertaining to solubility and buffers will be discussed. This will be followed by an introduction to electrochemistry, the chemistry of transition metals, and nuclear chemistry. Note: This course is part of the Honors Program. Faculty Requirements Course Family Not Applicable Course Justification This course is a major preparation requirement in the discipline of Chemistry at all CSUs and UCs. This course meets a general education requirement for Cal-GETC. This is the third of three courses in the General Chemistry sequence of classes where students are introduced to foundational topics in chemistry, preparing the students for upper-division coursework in both chemistry and biology. Additionally, this course is part of the Honors Program. Foothill Equivalency Does the course have a Foothill equivalent? No Foothill Course ID Course Philosophy Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",CHEM 4A,Advanced General Chemistry: Molecular Structure and Reactivity,"The first course of the two-quarter accelerated general chemistry series intended for students with a strong high school chemistry background. Coverage includes atomic structure and periodicity, general concepts of chemical bonding, covalent bonding, chemical equilibria and acid-base equilibria. To enroll in CHEM 4A , students must complete an ALEKS prep module. To access this module, find a link in the ""Class Notes"" section of CHEM 4A in the schedule of classes. Students cannot enroll in CHEM 4A after receiving credit with a 'C' or better in CHEM 3A ."
412,"PHYS 4C Physics for Scientists and Engineers: Fluids, Waves, Optics and Thermodynamics","This is an introductory studies course in static and dynamic fluids, mechanical and non-mechanical waves, geometrical and physical optics, heat, and the laws of thermodynamics. Faculty Requirements Course Family Not Applicable Course Justification This course satisfies the major requirements for physics, engineering, and chemistry majors and is UC and CSU transferable. This course satisfies the Liberal Arts A.A. Degree, Science, Math, and Engineering Emphasis. This course is the third in a four-sequence set introducing the students to the fundamental principles of waves, fluids, optics, and thermodynamics in order to prepare them for upper-division coursework in the related fields. Foothill Equivalency Does the course have a Foothill equivalent? No Foothill Course ID Course Philosophy Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",PHYS 5M,Introduction to Physics II Laboratory,Laboratory sequence illustrating topics covered in PHYS 5B. One three-hour laboratory session per week.
413,PHYS 4B Physics for Scientists and Engineers: Electricity and Magnetism,"This course introduces classical electromagnetism and includes DC and AC circuits and elementary field theory. Faculty Requirements Course Family Not Applicable Course Justification This course satisfies the major requirements for physics, engineering, and chemistry majors and is UC and CSU transferable. This course satisfies the Liberal Arts A.A. Degree, Science, Math, and Engineering Emphasis. As the second course of a four-course sequence, it introduces the students to the fundamental principles of Electricity and Magnetism in order to prepare them for upper-division coursework in the related fields. Foothill Equivalency Does the course have a Foothill equivalent? No Foothill Course ID Course Philosophy Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",PHYS 5N,Introduction to Physics Laboratory III,Laboratory sequence illustrating topics covered in PHYS 5C and PHYS 15C . One three-hour laboratory session per week.
414,MATH 1DH Calculus - HONORS,"Topics in this course include partial derivatives, multiple integrals, and vector calculus. Because it is an honors course, students will be expected to complete extra assignments to gain deeper insight into calculus. Faculty Requirements Course Family Not Applicable Course Justification This course meets a general education requirement for De Anza and Cal-GETC. This course is a required core course for the A.S.-T degree in Mathematics. It is also CSU and UC transferable. This is the fourth course in a sequence of four courses in calculus. This course emphasizes multivariable calculus. The content in this course is required for advanced courses in mathematics and the sciences. The course is an honors version and as a result, includes more advanced assignments and assessments. Foothill Equivalency Does the course have a Foothill equivalent? No Foothill Course ID Course Philosophy Course Philosophy This course is a continuation of materials studied in the previous calculus series. Multi-variable functions expressed in the various coordinate systems are studied using graphs, limits and partial derivatives. The fundamental theorem of line integrals, Green's theorem, Stokes' theorem and the Divergence theorem are studies and used to evaluate line, multiple and flux integrals. Techniques of differentiations and integrations of scalar and vector valued functions are studied and further made relevant by examining and solving problems from geometry, science, engineering as well as problems that explore multicultural perspectives and from multiple fields of interest to students. Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",MATH 23B,Vector Calculus,"Double integral, changing the order of integration. Triple integrals, maps of the plane, change of variables theorem, improper double integrals. Path integrals, line integrals, parametrized surfaces, area of a surface, surface integrals. Green's theorem, Stokes' theorem, conservative fields, Gauss' theorem. Applications to physics and differential equations, differential forms."
415,MATH 1D Calculus,"Topics in this course include partial derivatives, multiple integrals, vector calculus, and their applications. Faculty Requirements Course Family Not Applicable Course Justification This course meets a general education requirement for De Anza and Cal-GETC. This course is a required core course for the A.S.-T degree in Mathematics. It is also CSU and UC transferable. This is the fourth course in a sequence of four courses in calculus. This course emphasizes multivariable calculus. Foothill Equivalency Does the course have a Foothill equivalent? No Foothill Course ID Course Philosophy Course Philosophy This course is a continuation of materials studied in the previous calculus series. Multivariable functions expressed in the various coordinate systems are studied using graphs, limits and partial derivatives. The fundamental theorem of line integrals, Green's theorem, Stokes' theorem and the Divergence theorem are studies and used to evaluate line, multiple and flux integrals. Techniques of differentiations and integrations of scalar and vector valued functions are studied and further made relevant by examining and solving problems from geometry, science, engineering as well as problems that explore multicultural perspectives and from multiple fields of interest to students. Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",MATH 23B,Vector Calculus,"Double integral, changing the order of integration. Triple integrals, maps of the plane, change of variables theorem, improper double integrals. Path integrals, line integrals, parametrized surfaces, area of a surface, surface integrals. Green's theorem, Stokes' theorem, conservative fields, Gauss' theorem. Applications to physics and differential equations, differential forms."
416,PHYS 4A Physics for Scientists and Engineers: Mechanics,"A rigorous introduction to the physical laws that describe and explain the motion of bodies. This course requires problem solving using verbal logic, critical analysis, and mathematical models. Students investigate general scientific procedures as a quantitative interplay between experimentation and theory employing statistical methods, graphical techniques, and measurement theory. Faculty Requirements Course Family Not Applicable Course Justification This course rigorously analyzes the structure of classical mechanics and its applications. This course satisfies the major requirements for physics, engineering, and chemistry majors. It is the first course of a 4-course series sequence. It meets a general education requirement for De Anza and Cal-GETC. It satisfies the Liberal Arts A.A. Degree, Science, Math and Engineering Emphasis. Foothill Equivalency Does the course have a Foothill equivalent? No Foothill Course ID Course Philosophy Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",PHYS 5L,Introduction to Physics I Laboratory,Laboratory sequence illustrating topics covered in PHYS 5A and PHYS 15A . One three-hour laboratory session per week.
417,"PHYS 4C Physics for Scientists and Engineers: Fluids, Waves, Optics and Thermodynamics","This is an introductory studies course in static and dynamic fluids, mechanical and non-mechanical waves, geometrical and physical optics, heat, and the laws of thermodynamics. Faculty Requirements Course Family Not Applicable Course Justification This course satisfies the major requirements for physics, engineering, and chemistry majors and is UC and CSU transferable. This course satisfies the Liberal Arts A.A. Degree, Science, Math, and Engineering Emphasis. This course is the third in a four-sequence set introducing the students to the fundamental principles of waves, fluids, optics, and thermodynamics in order to prepare them for upper-division coursework in the related fields. Foothill Equivalency Does the course have a Foothill equivalent? No Foothill Course ID Course Philosophy Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",PHYS 5B,Introduction to Physics II,"A continuation of PHYS 5A . Wave motion in matter, including sound waves. Geometrical optics, interference and polarization, statics and dynamics of fluids."
418,PHYS 4A Physics for Scientists and Engineers: Mechanics,"A rigorous introduction to the physical laws that describe and explain the motion of bodies. This course requires problem solving using verbal logic, critical analysis, and mathematical models. Students investigate general scientific procedures as a quantitative interplay between experimentation and theory employing statistical methods, graphical techniques, and measurement theory. Faculty Requirements Course Family Not Applicable Course Justification This course rigorously analyzes the structure of classical mechanics and its applications. This course satisfies the major requirements for physics, engineering, and chemistry majors. It is the first course of a 4-course series sequence. It meets a general education requirement for De Anza and Cal-GETC. It satisfies the Liberal Arts A.A. Degree, Science, Math and Engineering Emphasis. Foothill Equivalency Does the course have a Foothill equivalent? No Foothill Course ID Course Philosophy Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",PHYS 5A,Introduction to Physics I,"Elementary mechanics. Vectors, Newton's laws, inverse square force laws, work and energy, conservation of momentum and energy, and oscillations."
419,PHYS 4B Physics for Scientists and Engineers: Electricity and Magnetism,"This course introduces classical electromagnetism and includes DC and AC circuits and elementary field theory. Faculty Requirements Course Family Not Applicable Course Justification This course satisfies the major requirements for physics, engineering, and chemistry majors and is UC and CSU transferable. This course satisfies the Liberal Arts A.A. Degree, Science, Math, and Engineering Emphasis. As the second course of a four-course sequence, it introduces the students to the fundamental principles of Electricity and Magnetism in order to prepare them for upper-division coursework in the related fields. Foothill Equivalency Does the course have a Foothill equivalent? No Foothill Course ID Course Philosophy Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",PHYS 5C,Introduction to Physics III,"Introduction to electricity and magnetism. Electromagnetic radiation, Maxwell's equations."
420,"PHYS 4C Physics for Scientists and Engineers: Fluids, Waves, Optics and Thermodynamics","This is an introductory studies course in static and dynamic fluids, mechanical and non-mechanical waves, geometrical and physical optics, heat, and the laws of thermodynamics. Faculty Requirements Course Family Not Applicable Course Justification This course satisfies the major requirements for physics, engineering, and chemistry majors and is UC and CSU transferable. This course satisfies the Liberal Arts A.A. Degree, Science, Math, and Engineering Emphasis. This course is the third in a four-sequence set introducing the students to the fundamental principles of waves, fluids, optics, and thermodynamics in order to prepare them for upper-division coursework in the related fields. Foothill Equivalency Does the course have a Foothill equivalent? No Foothill Course ID Course Philosophy Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",PHYS 5D,Introduction to Physics IV,"Introduces temperature, heat, thermal conductivity, diffusion, ideal gases, laws of thermodynamics, heat engines, and kinetic theory. Introduces the special theory of relativity and the equivalence principle. Includes the photoelectric effect, the Compton effect, matter waves, atomic spectra, and the Bohr model."
